2020-09-05 12:53:16.812 DEBUG    [detect_vehicles] Contour #112: pos=(x=1154, y=74) size=(w=7, h=9) valid=False
2020-09-05 12:53:16.812 DEBUG    [detect_vehicles] Contour #113: pos=(x=456, y=72) size=(w=27, h=32) valid=True
2020-09-05 12:53:16.813 DEBUG    [detect_vehicles] Contour #114: pos=(x=162, y=71) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.813 DEBUG    [detect_vehicles] Contour #115: pos=(x=34, y=67) size=(w=15, h=23) valid=False
2020-09-05 12:53:16.813 DEBUG    [detect_vehicles] Contour #116: pos=(x=368, y=66) size=(w=15, h=14) valid=False
2020-09-05 12:53:16.814 DEBUG    [detect_vehicles] Contour #117: pos=(x=311, y=65) size=(w=18, h=13) valid=False
2020-09-05 12:53:16.814 DEBUG    [detect_vehicles] Contour #118: pos=(x=306, y=64) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.814 DEBUG    [detect_vehicles] Contour #119: pos=(x=523, y=62) size=(w=8, h=9) valid=False
2020-09-05 12:53:16.815 DEBUG    [detect_vehicles] Contour #120: pos=(x=483, y=51) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.816 DEBUG    [detect_vehicles] Contour #121: pos=(x=1152, y=47) size=(w=11, h=23) valid=False
2020-09-05 12:53:16.821 DEBUG    [detect_vehicles] Contour #122: pos=(x=253, y=44) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.822 DEBUG    [detect_vehicles] Contour #123: pos=(x=323, y=42) size=(w=15, h=24) valid=False
2020-09-05 12:53:16.823 DEBUG    [detect_vehicles] Contour #124: pos=(x=276, y=42) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.823 DEBUG    [detect_vehicles] Contour #125: pos=(x=369, y=41) size=(w=15, h=19) valid=False
2020-09-05 12:53:16.824 DEBUG    [detect_vehicles] Contour #126: pos=(x=483, y=36) size=(w=7, h=7) valid=False
